phase,dimension,group,rows,hours,groups,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,region,Himachal Pradesh,15,0.039433333333333334,9,343,21,10,2,9,1656,51,10,6.122448979591836,3.079710144927536,66.66666666666667,343,19,8,4,7,1656,48,10,5.539358600583091,2.898550724637681,66.66666666666667
primary,region,Jammu and Kashmir,41,0.10120833333333334,27,892,56,29,9,18,4489,126,26,6.278026905829597,2.806861216306527,63.41463414634146,892,43,23,11,9,4489,101,25,4.820627802690583,2.2499443083092,60.97560975609756
primary,region,Jharkhand,62,0.18912500000000002,42,1657,104,63,7,34,8525,246,47,6.2764031382015695,2.8856304985337244,75.80645161290323,1657,107,69,12,26,8525,254,47,6.457453228726615,2.9794721407624634,75.80645161290323
primary,region,Karnataka,103,0.28606666666666664,73,2577,133,86,11,36,13056,319,68,5.161039968956151,2.4433210784313726,66.01941747572816,2577,130,80,22,28,13056,335,72,5.044625533566162,2.5658700980392157,69.90291262135922
primary,region,Kerala,73,0.208025,50,1882,103,50,15,38,9312,233,48,5.472901168969182,2.502147766323024,65.75342465753425,1882,96,52,18,26,9312,209,49,5.100956429330499,2.2444158075601375,67.12328767123287
primary,region,Ladakh,1,0.0007166666666666667,1,7,2,1,0,1,37,7,1,28.571428571428573,18.91891891891892,100.0,7,2,1,0,1,37,7,1,28.571428571428573,18.91891891891892,100.0
primary,region,Madhya Pradesh,91,0.231825,71,2010,150,81,29,40,10241,391,63,7.462686567164179,3.817986524753442,69.23076923076923,2010,145,79,34,32,10241,387,59,7.213930348258707,3.778927839078215,64.83516483516483
primary,region,Maharashtra,154,0.3816083333333333,117,3431,206,120,22,64,17238,419,91,6.004080443019528,2.430676412576865,59.09090909090909,3431,195,113,32,50,17238,392,88,5.683474205770913,2.2740457129597402,57.142857142857146
primary,region,Manipur,3,0.0029,3,27,1,1,0,0,117,3,1,3.7037037037037037,2.5641025641025643,33.333333333333336,27,1,1,0,0,117,3,1,3.7037037037037037,2.5641025641025643,33.333333333333336
primary,region,Meghalaya,1,0.0017166666666666667,1,14,2,1,0,1,70,1,1,14.285714285714286,1.4285714285714286,100.0,14,2,1,0,1,70,1,1,14.285714285714286,1.4285714285714286,100.0
primary,region,Odisha,38,0.10571666666666667,25,889,48,30,5,13,4685,121,27,5.399325084364454,2.582710779082177,71.05263157894737,889,42,28,10,4,4685,112,26,4.724409448818897,2.390608324439701,68.42105263157895
