phase,split,label,scoring,rows,hours,groups,wer_delta_pp,relative_wer_reduction_pct,delta_ci_low,delta_ci_high,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,gigaspeechbench_ind_en,GigaSpeechBench · Indian accent,legacy,5503,11.078895017361111,182,0.32692141809712716,-3.3042720139494293,0.17071740399263127,0.4939354019661326,115930,11470,6521,3456,1493,647575,31287,3553,9.893901492279824,4.831409489248349,64.56478284572052,115930,11849,6527,4098,1224,647575,33559,3598,10.22082291037695,5.182256881442304,65.38251862620389
primary,gigaspeechbench_jpn_en,GigaSpeechBench · Japanese accent,legacy,9310,9.754672534722223,169,-0.2997780863516617,1.3123508692194066,-0.5789808684512965,-0.031961286393264954,77057,17602,10531,3143,3928,374789,50449,6102,22.842830631869916,13.460640520399478,65.54242749731472,77057,17371,10467,3587,3317,374789,50180,6109,22.543052545518254,13.388866802387478,65.61761546723953
primary,gigaspeechbench_law_en,GigaSpeechBench · Law,legacy,7273,10.321348541666666,19,0.4812241477195922,-4.146928632445444,0.2574310495518732,0.717465796268199,110967,12877,7142,3240,2495,569222,37796,4457,11.604350843043427,6.63994012880739,61.28145194555204,110967,13411,7154,4075,2182,569222,40411,4521,12.08557499076302,7.099339097926643,62.161418946789496
primary,gigaspeechbench_med_en,GigaSpeechBench · Medicine,legacy,5168,10.308312795138889,62,0.3463704602041471,-5.239749826268239,0.20025345044483822,0.5029963582540924,108843,7195,3791,2275,1129,590008,16870,2541,6.6104388890420145,2.859283263955743,49.167956656346746,108843,7572,3862,2721,989,590008,18300,2618,6.956809349246162,3.1016528589442856,50.6578947368421
primary,gigaspeechbench_mil_en,GigaSpeechBench · Military,legacy,5224,11.202737222222222,40,0.5732543933840812,-6.231908734888481,0.38986248178270283,0.7782164513792235,127692,11746,6022,4660,1064,690035,32673,3256,9.198696864329793,4.734977211300876,62.32771822358346,127692,12478,6287,5269,922,690035,35788,3344,9.771951257713875,5.1864035882237856,64.01225114854518
primary,gigaspeechbench_phl_en,GigaSpeechBench · Filipino accent,legacy,8637,10.754581875,37,0.2098485550789242,-1.585179526355991,0.052708482607326836,0.3753004202211881,118657,15708,8155,4251,3302,577589,47812,5474,13.238157040882545,8.277858477221692,63.378487900891514,118657,15957,8102,5021,2834,577589,49293,5489,13.448005595961469,8.534269177563978,63.55215931457682
primary,gigaspeechbench_sct_en,GigaSpeechBench · Scottish accent,legacy,12829,11.231581006944444,30,0.4862708154387505,-1.789811840293707,0.16444190494172004,0.8362863728571317,144364,39222,22748,9347,7127,673685,117766,9686,27.168823252334377,17.480870139605305,75.50081845818069,144364,39924,22820,11031,6073,673685,121308,9732,27.655094067773128,18.006635148474434,75.85938108971861
primary,gigaspeechbench_sgp_en,GigaSpeechBench · Singaporean accent,legacy,9480,10.753926284722223,45,0.5009619374552052,-3.283552566511729,0.2578718943173923,0.7229744699636876,132545,20222,10736,6224,3262,648451,61754,6451,15.256705269908332,9.523310165301618,68.04852320675106,132545,20886,10823,7275,2788,648451,64359,6545,15.757667207363538,9.925036741403746,69.04008438818565
primary,monsoon_en_in,Monsoon · Indian English,legacy,2102,5.6243333333333325,1444,-0.5034982003477984,8.169291338582683,-0.6815201660560501,-0.3486257373846199,49454,3048,1673,340,1035,251135,7038,1412,6.163303271727262,2.802476755529894,67.17411988582303,49454,2799,1599,471,729,251135,6516,1343,5.659805071379464,2.5946204232783163,63.89153187440533
primary,eurospeech_en,EuroSpeech · English,standard_english,9268,38.72433388888889,12,-1.0019569247343263,3.843279481261681,-1.1564788001425508,-0.8315739864953686,349017,90990,31556,12236,47198,2004111,368367,9070,26.070363334737277,18.38056874095297,97.86361674579197,349017,87493,31068,12301,44124,2004111,355401,9049,25.06840641000295,17.733598588102154,97.63703064307293
primary,gigaspeechbench_agr_en,GigaSpeechBench · Agriculture,standard_english,6665,10.318452430555554,40,0.0008319329129298225,-0.01286008230452553,-0.1649045116043379,0.12705670759878232,120202,7776,3371,2067,2338,597453,22462,3199,6.469110330942913,3.759626280226227,47.996999249812454,120202,7777,3351,2318,2108,597453,22495,3189,6.469942263855843,3.7651497272588808,47.846961740435106
primary,gigaspeechbench_ait_en,GigaSpeechBench · Artificial intelligence,standard_english,5468,10.457904166666667,15,0.39472106685357566,-4.113011724005387,0.17066451179122016,0.6588103753447658,108431,10406,4935,2895,2576,547520,25209,3530,9.59688649924837,4.604215371127995,64.55742501828823,108431,10834,4939,3664,2231,547520,26784,3560,9.991607566101946,4.89187609585038,65.10607168983175
primary,gigaspeechbench_art_en,GigaSpeechBench · Art,standard_english,5712,10.114382864583334,23,0.01698793856362002,-0.2781868761250236,-0.18251056759752596,0.2193307797576426,100071,6111,3039,1295,1777,529645,15752,2716,6.106664268369458,2.974067535802283,47.549019607843135,100071,6128,2996,1626,1506,529645,16053,2745,6.123652206933078,3.0308980543571638,48.05672268907563
primary,gigaspeechbench_bio_en,GigaSpeechBench · Biology,standard_english,5297,10.504789756944446,32,0.1142992274948762,-1.7538554581191406,0.01845389665037929,0.2328963966677861,101488,6614,3348,2418,848,579871,11056,2446,6.517026643544065,1.9066309575750469,46.1770813668114,101488,6730,3420,2512,798,579871,11123,2439,6.631325871038941,1.918185251547327,46.04493109307155
primary,gigaspeechbench_chn_en,GigaSpeechBench · Chinese accent,standard_english,6308,9.427544097222222,71,-0.14845106716710532,0.8619988615109367,-0.3353360952753823,0.02836087854930559,71404,12297,7927,2405,1965,363373,36769,4266,17.221724273149963,10.118803543466356,67.6284083703234,71404,12191,7836,2582,1773,363373,36640,4241,17.073273205982858,10.08330283207613,67.23208623969562
primary,gigaspeechbench_ecm_en,GigaSpeechBench · Economics,standard_english,5659,10.570892968750002,27,0.016353837576657426,-0.18001800180016694,-0.13243528089919607,0.16811626566376753,134525,12221,6239,2561,3421,678684,32521,3610,9.08455677383386,4.791773491050327,63.79218943276197,134525,12243,6239,2862,3142,678684,32573,3583,9.100910611410518,4.799435377878365,63.315073334511396
primary,gigaspeechbench_eng_en,GigaSpeechBench · Engineering,standard_english,6648,11.598361961805555,31,0.5012770837315168,-8.853767070738066,0.29011358708188617,0.7748282917144721,115106,6517,3396,1798,1323,575673,13472,2861,5.661737876392195,2.3402174498369734,43.03549939831528,115106,7094,3636,2203,1255,575673,14168,2930,6.163014960123712,2.4611194202264133,44.0734055354994
primary,gigaspeechbench_ent_en,GigaSpeechBench · Entertainment,standard_english,8583,10.117495520833332,28,-0.0831255195344962,0.8310027966440183,-0.2642840519550302,0.1001260814029131,125112,12515,5450,3489,3576,592958,38144,4585,10.003037278598375,6.432833354133008,53.41955027379704,125112,12411,5275,3988,3148,592958,38002,4579,9.91991175906388,6.40888562090401,53.34964464639403
primary,gigaspeechbench_fin_en,GigaSpeechBench · Finance,standard_english,6037,11.426505520833333,38,0.050908232377635976,-0.736707238949394,-0.03448354358577794,0.14010303439339503,135538,9366,4452,2344,2570,698388,23472,3412,6.910239194912128,3.360882489389852,56.5181381480868,135538,9435,4420,2747,2268,698388,23795,3427,6.961147427289764,3.407131852208228,56.76660593009773
primary,gigaspeechbench_hum_en,GigaSpeechBench · Humanities,standard_english,4971,10.02624967013889,32,-0.0677896466721446,0.9771986970684036,-0.1721050807248167,0.027521458669078017,97360,6754,3325,1151,2278,526570,19297,2650,6.937140509449466,3.6646599692348594,53.30919332126333,97360,6688,3356,1299,2033,526570,19195,2651,6.869350862777321,3.6452893252559013,53.32930999798833
primary,gigaspeechbench_ind_en,GigaSpeechBench · Indian accent,standard_english,5503,11.078895017361111,182,-0.02565667825640805,0.3260258572231656,-0.13984621921221635,0.07815955453289418,113031,8895,5208,2455,1232,629322,19395,3217,7.869522520370518,3.08188812722263,58.459022351444666,113031,8866,5169,2546,1151,629322,19186,3209,7.84386584211411,3.048677783392286,58.313647101580955
primary,gigaspeechbench_jpn_en,GigaSpeechBench · Japanese accent,standard_english,9310,9.754672534722223,169,-0.06070203219846704,0.28559011609858026,-0.2837415459175515,0.1680248528552656,75780,16107,9436,3016,3655,369426,46764,5789,21.25494853523357,12.658556788098293,62.18045112781955,75780,16061,9475,3257,3329,369426,46644,5803,21.194246503035103,12.626073963391857,62.330827067669176
primary,gigaspeechbench_law_en,GigaSpeechBench · Law,standard_english,7273,10.321348541666666,19,0.11749141942586405,-1.1721273650207589,-0.07430706714248536,0.30734904032273624,108093,10835,5875,2627,2333,555958,30675,4068,10.023775822671219,5.517503120739336,55.93290251615564,108093,10962,5789,3009,2164,555958,31233,4089,10.141267242097083,5.617870414671612,56.221641688436684
primary,gigaspeechbench_med_en,GigaSpeechBench · Medicine,standard_english,5168,10.308312795138889,62,0.06610123730344153,-1.2149212867898627,-0.009827000929378226,0.13826097646948604,107411,5844,3153,1700,991,583182,11440,2220,5.4407835324128815,1.961651765658062,42.95665634674923,107411,5915,3158,1851,906,583182,11586,2253,5.506884769716323,1.986686831898104,43.595201238390096
primary,gigaspeechbench_mil_en,GigaSpeechBench · Military,standard_english,5224,11.202737222222222,40,0.11169233983398819,-1.8652710681696185,0.05189520138469477,0.17111775781696204,124449,7452,4022,2482,948,667307,11691,2741,5.987995082322879,1.7519672354703308,52.46937212863706,124449,7591,4084,2617,890,667307,11878,2767,6.099687422156867,1.779990319298314,52.96707503828484
